Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Tax status,In stock?,Stock,Regular price,Parent,Images,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Meta: _1688_offer_id,Meta: _1688_source_url,Meta: _1688_source_variant_id,Meta: _1688_spec_id,Meta: _1688_source_price
variation,6011544982677,跨境热卖锌合金金属磨烟器40/50/55/63平板4层手动研磨器Grinder - 银 - 40mm（四层）,1,,,,,taxable,1,96292,1.49,1688-582636594501,,颜色,银,1,0,规格,40mm（四层）,1,0,582636594501,https://detail.1688.com/offer/582636594501.html?spm=a26352.13672862.offerlist.5.53061e620J2Jom&offerId=582636594501&sortType=&pageId=&abBizDataType=cbuOffer&hotSaleSkuId=6011544982679&trace_log=normal&uuid=6311b6d6b99247978dd34f5a1a899878&sourceId=V1-3d097e67f0d5c98b71aeefa6df3063dc-S02&forcePC=1788413877143,6011544982677,563d2142c44f9e99ae339bf5d56c13f9,7.00
variation,6011544982671,跨境热卖锌合金金属磨烟器40/50/55/63平板4层手动研磨器Grinder - 金色 - 50mm（四层）,1,,,,,taxable,1,99856,2.11,1688-582636594501,,颜色,金色,1,0,规格,50mm（四层）,1,0,582636594501,https://detail.1688.com/offer/582636594501.html?spm=a26352.13672862.offerlist.5.53061e620J2Jom&offerId=582636594501&sortType=&pageId=&abBizDataType=cbuOffer&hotSaleSkuId=6011544982679&trace_log=normal&uuid=6311b6d6b99247978dd34f5a1a899878&sourceId=V1-3d097e67f0d5c98b71aeefa6df3063dc-S02&forcePC=1788413877143,6011544982671,1ed46b636f16dbf284635b63ae6e3e00,9.90
variation,6011544982673,跨境热卖锌合金金属磨烟器40/50/55/63平板4层手动研磨器Grinder - 枪 - 50mm（四层）,1,,,,,taxable,1,99745,2.11,1688-582636594501,,颜色,枪,1,0,规格,50mm（四层）,1,0,582636594501,https://detail.1688.com/offer/582636594501.html?spm=a26352.13672862.offerlist.5.53061e620J2Jom&offerId=582636594501&sortType=&pageId=&abBizDataType=cbuOffer&hotSaleSkuId=6011544982679&trace_log=normal&uuid=6311b6d6b99247978dd34f5a1a899878&sourceId=V1-3d097e67f0d5c98b71aeefa6df3063dc-S02&forcePC=1788413877143,6011544982673,56ff29f2330a46f0b63943c1444ef4d7,9.90
variation,6011544982648,跨境热卖锌合金金属磨烟器40/50/55/63平板4层手动研磨器Grinder - 蓝 - 55mm（四层）,1,,,,,taxable,1,99932,2.39,1688-582636594501,,颜色,蓝,1,0,规格,55mm（四层）,1,0,582636594501,https://detail.1688.com/offer/582636594501.html?spm=a26352.13672862.offerlist.5.53061e620J2Jom&offerId=582636594501&sortType=&pageId=&abBizDataType=cbuOffer&hotSaleSkuId=6011544982679&trace_log=normal&uuid=6311b6d6b99247978dd34f5a1a899878&sourceId=V1-3d097e67f0d5c98b71aeefa6df3063dc-S02&forcePC=1788413877143,6011544982648,bcd11e01fea39c3c191a48fbc2b91505,11.20
variation,6011544982683,跨境热卖锌合金金属磨烟器40/50/55/63平板4层手动研磨器Grinder - 枪 - 40mm（四层）,1,,,,,taxable,1,99307,1.60,1688-582636594501,,颜色,枪,1,0,规格,40mm（四层）,1,0,582636594501,https://detail.1688.com/offer/582636594501.html?spm=a26352.13672862.offerlist.5.53061e620J2Jom&offerId=582636594501&sortType=&pageId=&abBizDataType=cbuOffer&hotSaleSkuId=6011544982679&trace_log=normal&uuid=6311b6d6b99247978dd34f5a1a899878&sourceId=V1-3d097e67f0d5c98b71aeefa6df3063dc-S02&forcePC=1788413877143,6011544982683,650867f1fc952acae63c25df678b915a,7.50
variation,6011544982665,跨境热卖锌合金金属磨烟器40/50/55/63平板4层手动研磨器Grinder - 玫瑰金 - 63mm（四层）,1,,,,,taxable,1,99994,2.96,1688-582636594501,,颜色,玫瑰金,1,0,规格,63mm（四层）,1,0,582636594501,https://detail.1688.com/offer/582636594501.html?spm=a26352.13672862.offerlist.5.53061e620J2Jom&offerId=582636594501&sortType=&pageId=&abBizDataType=cbuOffer&hotSaleSkuId=6011544982679&trace_log=normal&uuid=6311b6d6b99247978dd34f5a1a899878&sourceId=V1-3d097e67f0d5c98b71aeefa6df3063dc-S02&forcePC=1788413877143,6011544982665,be07b6ddc79798a2fb628041e9496cee,13.90
variation,6011544982657,跨境热卖锌合金金属磨烟器40/50/55/63平板4层手动研磨器Grinder - 银 - 63mm（四层）,1,,,,,taxable,1,99818,2.79,1688-582636594501,,颜色,银,1,0,规格,63mm（四层）,1,0,582636594501,https://detail.1688.com/offer/582636594501.html?spm=a26352.13672862.offerlist.5.53061e620J2Jom&offerId=582636594501&sortType=&pageId=&abBizDataType=cbuOffer&hotSaleSkuId=6011544982679&trace_log=normal&uuid=6311b6d6b99247978dd34f5a1a899878&sourceId=V1-3d097e67f0d5c98b71aeefa6df3063dc-S02&forcePC=1788413877143,6011544982657,c53f403569ced7db590219ad0ba37d00,13.10
variation,6011544982654,跨境热卖锌合金金属磨烟器40/50/55/63平板4层手动研磨器Grinder - 炫彩 - 55mm（四层）,1,,,,,taxable,1,99869,3.13,1688-582636594501,,颜色,炫彩,1,0,规格,55mm（四层）,1,0,582636594501,https://detail.1688.com/offer/582636594501.html?spm=a26352.13672862.offerlist.5.53061e620J2Jom&offerId=582636594501&sortType=&pageId=&abBizDataType=cbuOffer&hotSaleSkuId=6011544982679&trace_log=normal&uuid=6311b6d6b99247978dd34f5a1a899878&sourceId=V1-3d097e67f0d5c98b71aeefa6df3063dc-S02&forcePC=1788413877143,6011544982654,bde61e7a1dcbec66c16a514c3d145f8a,14.70
variation,6011544982661,跨境热卖锌合金金属磨烟器40/50/55/63平板4层手动研磨器Grinder - 金色 - 63mm（四层）,1,,,,,taxable,1,99994,2.96,1688-582636594501,,颜色,金色,1,0,规格,63mm（四层）,1,0,582636594501,https://detail.1688.com/offer/582636594501.html?spm=a26352.13672862.offerlist.5.53061e620J2Jom&offerId=582636594501&sortType=&pageId=&abBizDataType=cbuOffer&hotSaleSkuId=6011544982679&trace_log=normal&uuid=6311b6d6b99247978dd34f5a1a899878&sourceId=V1-3d097e67f0d5c98b71aeefa6df3063dc-S02&forcePC=1788413877143,6011544982661,be005bdeccfaed135b7caeb207904380,13.90
variation,6028372680517,跨境热卖锌合金金属磨烟器40/50/55/63平板4层手动研磨器Grinder - 包花随机图 - 75mm（四层）,1,,,,,taxable,1,99999,4.90,1688-582636594501,,颜色,包花随机图,1,0,规格,75mm（四层）,1,0,582636594501,https://detail.1688.com/offer/582636594501.html?spm=a26352.13672862.offerlist.5.53061e620J2Jom&offerId=582636594501&sortType=&pageId=&abBizDataType=cbuOffer&hotSaleSkuId=6011544982679&trace_log=normal&uuid=6311b6d6b99247978dd34f5a1a899878&sourceId=V1-3d097e67f0d5c98b71aeefa6df3063dc-S02&forcePC=1788413877143,6028372680517,f345cf21595e81f38882db05399c06c4,23.00
variation,6011544982675,跨境热卖锌合金金属磨烟器40/50/55/63平板4层手动研磨器Grinder - 玫瑰金 - 50mm（四层）,1,,,,,taxable,1,99920,2.11,1688-582636594501,,颜色,玫瑰金,1,0,规格,50mm（四层）,1,0,582636594501,https://detail.1688.com/offer/582636594501.html?spm=a26352.13672862.offerlist.5.53061e620J2Jom&offerId=582636594501&sortType=&pageId=&abBizDataType=cbuOffer&hotSaleSkuId=6011544982679&trace_log=normal&uuid=6311b6d6b99247978dd34f5a1a899878&sourceId=V1-3d097e67f0d5c98b71aeefa6df3063dc-S02&forcePC=1788413877143,6011544982675,84af8b2f732d98e4ac42c5d9dd2603fb,9.90
variation,6011544982672,跨境热卖锌合金金属磨烟器40/50/55/63平板4层手动研磨器Grinder - 红 - 50mm（四层）,1,,,,,taxable,1,99879,1.92,1688-582636594501,,颜色,红,1,0,规格,50mm（四层）,1,0,582636594501,https://detail.1688.com/offer/582636594501.html?spm=a26352.13672862.offerlist.5.53061e620J2Jom&offerId=582636594501&sortType=&pageId=&abBizDataType=cbuOffer&hotSaleSkuId=6011544982679&trace_log=normal&uuid=6311b6d6b99247978dd34f5a1a899878&sourceId=V1-3d097e67f0d5c98b71aeefa6df3063dc-S02&forcePC=1788413877143,6011544982672,3c0bc2301cdac222052f03259e35fb33,9.00
variation,6011544982659,跨境热卖锌合金金属磨烟器40/50/55/63平板4层手动研磨器Grinder - 黑 - 63mm（四层）,1,,,,,taxable,1,96614,2.64,1688-582636594501,,颜色,黑,1,0,规格,63mm（四层）,1,0,582636594501,https://detail.1688.com/offer/582636594501.html?spm=a26352.13672862.offerlist.5.53061e620J2Jom&offerId=582636594501&sortType=&pageId=&abBizDataType=cbuOffer&hotSaleSkuId=6011544982679&trace_log=normal&uuid=6311b6d6b99247978dd34f5a1a899878&sourceId=V1-3d097e67f0d5c98b71aeefa6df3063dc-S02&forcePC=1788413877143,6011544982659,42a7ae83268903f89c328d8b0b371601,12.40
variation,6011544982651,跨境热卖锌合金金属磨烟器40/50/55/63平板4层手动研磨器Grinder - 金色 - 55mm（四层）,1,,,,,taxable,1,99986,2.56,1688-582636594501,,颜色,金色,1,0,规格,55mm（四层）,1,0,582636594501,https://detail.1688.com/offer/582636594501.html?spm=a26352.13672862.offerlist.5.53061e620J2Jom&offerId=582636594501&sortType=&pageId=&abBizDataType=cbuOffer&hotSaleSkuId=6011544982679&trace_log=normal&uuid=6311b6d6b99247978dd34f5a1a899878&sourceId=V1-3d097e67f0d5c98b71aeefa6df3063dc-S02&forcePC=1788413877143,6011544982651,82a4a93dcef6d000085115908f40ba40,12.00
variation,6011544982679,跨境热卖锌合金金属磨烟器40/50/55/63平板4层手动研磨器Grinder - 黑 - 40mm（四层）,1,,,,,taxable,1,81944,1.41,1688-582636594501,,颜色,黑,1,0,规格,40mm（四层）,1,0,582636594501,https://detail.1688.com/offer/582636594501.html?spm=a26352.13672862.offerlist.5.53061e620J2Jom&offerId=582636594501&sortType=&pageId=&abBizDataType=cbuOffer&hotSaleSkuId=6011544982679&trace_log=normal&uuid=6311b6d6b99247978dd34f5a1a899878&sourceId=V1-3d097e67f0d5c98b71aeefa6df3063dc-S02&forcePC=1788413877143,6011544982679,ec8ce981391ed43e095c02df8ed5dc2e,6.60
variation,6011544982669,跨境热卖锌合金金属磨烟器40/50/55/63平板4层手动研磨器Grinder - 黑 - 50mm（四层）,1,,,,,taxable,1,98775,1.92,1688-582636594501,,颜色,黑,1,0,规格,50mm（四层）,1,0,582636594501,https://detail.1688.com/offer/582636594501.html?spm=a26352.13672862.offerlist.5.53061e620J2Jom&offerId=582636594501&sortType=&pageId=&abBizDataType=cbuOffer&hotSaleSkuId=6011544982679&trace_log=normal&uuid=6311b6d6b99247978dd34f5a1a899878&sourceId=V1-3d097e67f0d5c98b71aeefa6df3063dc-S02&forcePC=1788413877143,6011544982669,ad04356e2cc0fbe06ed2974a12fe54ae,9.00
variation,6011544982678,跨境热卖锌合金金属磨烟器40/50/55/63平板4层手动研磨器Grinder - 蓝 - 40mm（四层）,1,,,,,taxable,1,95859,1.41,1688-582636594501,,颜色,蓝,1,0,规格,40mm（四层）,1,0,582636594501,https://detail.1688.com/offer/582636594501.html?spm=a26352.13672862.offerlist.5.53061e620J2Jom&offerId=582636594501&sortType=&pageId=&abBizDataType=cbuOffer&hotSaleSkuId=6011544982679&trace_log=normal&uuid=6311b6d6b99247978dd34f5a1a899878&sourceId=V1-3d097e67f0d5c98b71aeefa6df3063dc-S02&forcePC=1788413877143,6011544982678,0c8c9302235dd358df78b0c0601ba96d,6.60
variation,6011544982668,跨境热卖锌合金金属磨烟器40/50/55/63平板4层手动研磨器Grinder - 蓝 - 50mm（四层）,1,,,,,taxable,1,99840,1.92,1688-582636594501,,颜色,蓝,1,0,规格,50mm（四层）,1,0,582636594501,https://detail.1688.com/offer/582636594501.html?spm=a26352.13672862.offerlist.5.53061e620J2Jom&offerId=582636594501&sortType=&pageId=&abBizDataType=cbuOffer&hotSaleSkuId=6011544982679&trace_log=normal&uuid=6311b6d6b99247978dd34f5a1a899878&sourceId=V1-3d097e67f0d5c98b71aeefa6df3063dc-S02&forcePC=1788413877143,6011544982668,9666b7a0dbb07ed5c39019adcd6cc36f,9.00
variation,6011544982662,跨境热卖锌合金金属磨烟器40/50/55/63平板4层手动研磨器Grinder - 红 - 63mm（四层）,1,,,,,taxable,1,99951,2.64,1688-582636594501,,颜色,红,1,0,规格,63mm（四层）,1,0,582636594501,https://detail.1688.com/offer/582636594501.html?spm=a26352.13672862.offerlist.5.53061e620J2Jom&offerId=582636594501&sortType=&pageId=&abBizDataType=cbuOffer&hotSaleSkuId=6011544982679&trace_log=normal&uuid=6311b6d6b99247978dd34f5a1a899878&sourceId=V1-3d097e67f0d5c98b71aeefa6df3063dc-S02&forcePC=1788413877143,6011544982662,91f64787ae1e129c665d4903a5251590,12.40
variation,6011544982676,跨境热卖锌合金金属磨烟器40/50/55/63平板4层手动研磨器Grinder - 绿 - 40mm（四层）,1,,,,,taxable,1,98205,1.41,1688-582636594501,,颜色,绿,1,0,规格,40mm（四层）,1,0,582636594501,https://detail.1688.com/offer/582636594501.html?spm=a26352.13672862.offerlist.5.53061e620J2Jom&offerId=582636594501&sortType=&pageId=&abBizDataType=cbuOffer&hotSaleSkuId=6011544982679&trace_log=normal&uuid=6311b6d6b99247978dd34f5a1a899878&sourceId=V1-3d097e67f0d5c98b71aeefa6df3063dc-S02&forcePC=1788413877143,6011544982676,24cd6780140dc1ed68886bf18a864adc,6.60
variation,6011544982666,跨境热卖锌合金金属磨烟器40/50/55/63平板4层手动研磨器Grinder - 绿 - 50mm（四层）,1,,,,,taxable,1,99894,1.92,1688-582636594501,,颜色,绿,1,0,规格,50mm（四层）,1,0,582636594501,https://detail.1688.com/offer/582636594501.html?spm=a26352.13672862.offerlist.5.53061e620J2Jom&offerId=582636594501&sortType=&pageId=&abBizDataType=cbuOffer&hotSaleSkuId=6011544982679&trace_log=normal&uuid=6311b6d6b99247978dd34f5a1a899878&sourceId=V1-3d097e67f0d5c98b71aeefa6df3063dc-S02&forcePC=1788413877143,6011544982666,1291e30646a8ee3d850b65dc2108313d,9.00
